generation,best_fitness,avg_fitness
183,1.000000,0.951500
184,1.000000,0.939667
185,1.000000,0.942958
186,1.000000,0.936292
187,1.000000,0.959125
188,1.000000,0.956625
189,1.000000,0.950000
190,1.000000,0.937917
191,1.000000,0.939042
192,1.000000,0.936583
193,1.000000,0.944917
194,1.000000,0.944083
195,1.000000,0.945958
196,1.000000,0.929958
197,1.000000,0.939958
198,1.000000,0.948292
199,1.000000,0.937458
200,1.000000,0.952625
201,1.000000,0.938250
202,1.000000,0.942667
203,1.000000,0.930000
204,1.000000,0.937375
205,1.000000,0.932583
206,1.000000,0.943042
207,1.000000,0.948083
208,1.000000,0.939625
209,1.000000,0.936542
210,1.000000,0.933292
211,1.000000,0.929417
212,1.000000,0.948292
213,1.000000,0.941667
214,1.000000,0.942042
215,1.000000,0.940458
216,1.000000,0.942500
217,1.000000,0.949292
218,1.000000,0.956542
219,1.000000,0.949583
220,1.000000,0.948167
221,1.000000,0.929417
222,1.000000,0.935875
223,1.000000,0.936917
224,1.000000,0.930583
225,1.000000,0.944208
226,1.000000,0.940417
227,1.000000,0.940500
228,1.000000,0.953083
229,1.000000,0.955083
230,1.000000,0.957167
231,1.000000,0.960833
232,1.000000,0.954958
233,1.000000,0.956792
234,1.000000,0.946792
235,1.000000,0.951458
236,1.000000,0.943542
237,1.000000,0.941417
238,1.000000,0.939208
239,1.000000,0.931083
240,1.000000,0.933542
241,1.000000,0.945917
242,1.000000,0.932750
243,1.000000,0.943833
244,1.000000,0.944417
245,1.000000,0.937375
246,1.000000,0.939250
247,1.000000,0.935333
248,1.000000,0.941167
249,1.000000,0.936375
250,1.000000,0.943375
