generation,best_fitness,avg_fitness
1,1.000000,0.929708
2,1.000000,0.924625
3,1.000000,0.935208
4,1.000000,0.936750
5,1.000000,0.938417
6,1.000000,0.944583
7,1.000000,0.948792
8,1.000000,0.939708
9,1.000000,0.944833
10,1.000000,0.919750
11,1.000000,0.918333
12,1.000000,0.935667
13,1.000000,0.956458
14,1.000000,0.956250
15,1.000000,0.947292
16,1.000000,0.948667
17,1.000000,0.951917
18,1.000000,0.941417
19,1.000000,0.956042
20,1.000000,0.942167
21,1.000000,0.940833
22,1.000000,0.931250
23,1.000000,0.934250
24,1.000000,0.930625
25,1.000000,0.935333
26,1.000000,0.935292
27,1.000000,0.936625
28,1.000000,0.951833
29,1.000000,0.954375
30,1.000000,0.950375
31,1.000000,0.940750
32,1.000000,0.940292
33,1.000000,0.951208
34,1.000000,0.949917
35,1.000000,0.945833
36,1.000000,0.938292
37,1.000000,0.947750
38,1.000000,0.943875
39,1.000000,0.944667
40,1.000000,0.940667
41,1.000000,0.929500
42,1.000000,0.945958
43,1.000000,0.950958
44,1.000000,0.934208
45,1.000000,0.927875
46,1.000000,0.949833
47,1.000000,0.945167
48,1.000000,0.937083
49,1.000000,0.941708
50,1.000000,0.943708
51,1.000000,0.948125
52,1.000000,0.941625
53,1.000000,0.944708
54,1.000000,0.942708
55,1.000000,0.948375
56,1.000000,0.954375
57,1.000000,0.955000
58,1.000000,0.956625
59,1.000000,0.952875
60,1.000000,0.944583
61,1.000000,0.963667
62,1.000000,0.958125
63,1.000000,0.945417
64,1.000000,0.947583
65,1.000000,0.956833
66,1.000000,0.956167
67,1.000000,0.939958
68,1.000000,0.933625
69,1.000000,0.933375
70,1.000000,0.949292
71,1.000000,0.945417
72,1.000000,0.946958
73,1.000000,0.939875
74,1.000000,0.933917
75,1.000000,0.947708
76,1.000000,0.950625
77,1.000000,0.952292
78,1.000000,0.954417
79,1.000000,0.934583
80,1.000000,0.928875
81,1.000000,0.950292
82,1.000000,0.953208
83,1.000000,0.935542
84,1.000000,0.947583
85,1.000000,0.951958
86,1.000000,0.941208
87,1.000000,0.949750
88,1.000000,0.937625
89,1.000000,0.946375
90,1.000000,0.952708
91,1.000000,0.943167
92,1.000000,0.949375
93,1.000000,0.941958
94,1.000000,0.933625
95,1.000000,0.926792
96,1.000000,0.934417
97,1.000000,0.935417
98,1.000000,0.944833
99,1.000000,0.941625
100,1.000000,0.947167
101,1.000000,0.949792
102,1.000000,0.946500
103,1.000000,0.929583
104,1.000000,0.927208
105,1.000000,0.934042
106,1.000000,0.944875
107,1.000000,0.941583
108,1.000000,0.947958
109,1.000000,0.950292
110,1.000000,0.937083
111,1.000000,0.938625
112,1.000000,0.938708
113,1.000000,0.936750
114,1.000000,0.949792
115,1.000000,0.940917
116,1.000000,0.942083
117,1.000000,0.958000
118,1.000000,0.936500
119,1.000000,0.927625
120,1.000000,0.939542
121,1.000000,0.933250
122,1.000000,0.951375
123,1.000000,0.937500
124,1.000000,0.958792
125,1.000000,0.948917
126,1.000000,0.945792
127,1.000000,0.940542
128,1.000000,0.926000
129,1.000000,0.944625
130,1.000000,0.958125
131,1.000000,0.961250
132,1.000000,0.946083
133,1.000000,0.950292
134,1.000000,0.958000
135,1.000000,0.943208
136,1.000000,0.947667
137,1.000000,0.962750
138,1.000000,0.939667
139,1.000000,0.958792
140,1.000000,0.955417
141,1.000000,0.959708
142,1.000000,0.946625
143,1.000000,0.943875
144,1.000000,0.942542
145,1.000000,0.960292
146,1.000000,0.951667
147,1.000000,0.960292
148,1.000000,0.953792
149,1.000000,0.940208
150,1.000000,0.947000
151,1.000000,0.958000
152,1.000000,0.945250
153,1.000000,0.957417
154,1.000000,0.943333
155,1.000000,0.938792
156,1.000000,0.949042
157,1.000000,0.942792
158,1.000000,0.963542
159,1.000000,0.949958
160,1.000000,0.946000
161,1.000000,0.972583
162,1.000000,0.956042
163,1.000000,0.938292
164,1.000000,0.940292
165,1.000000,0.945875
166,1.000000,0.944042
167,1.000000,0.929833
168,1.000000,0.939458
169,1.000000,0.926667
170,1.000000,0.932375
171,1.000000,0.928792
172,1.000000,0.932083
173,1.000000,0.944417
174,1.000000,0.911500
175,1.000000,0.928208
176,1.000000,0.934500
177,1.000000,0.931083
178,1.000000,0.935000
179,1.000000,0.946208
180,1.000000,0.955625
181,1.000000,0.949958
182,1.000000,0.944833
