generation,best_fitness,avg_fitness
1,1.000000,0.836250
2,1.000000,0.897250
3,1.000000,0.906875
4,1.000000,0.879625
5,1.000000,0.876000
6,1.000000,0.888875
7,1.000000,0.885750
8,1.000000,0.921125
9,1.000000,0.918250
10,1.000000,0.889375
11,1.000000,0.926375
12,1.000000,0.952875
13,1.000000,0.934000
14,1.000000,0.913250
15,1.000000,0.911000
16,1.000000,0.926250
17,1.000000,0.905875
18,1.000000,0.896500
19,1.000000,0.909375
20,1.000000,0.887375
21,1.000000,0.918250
22,1.000000,0.946500
23,1.000000,0.943250
24,1.000000,0.880750
25,1.000000,0.890875
26,1.000000,0.877250
27,1.000000,0.857125
28,1.000000,0.877500
29,1.000000,0.897000
30,1.000000,0.899875
31,1.000000,0.900125
32,1.000000,0.904375
33,1.000000,0.908750
34,1.000000,0.914625
35,1.000000,0.914750
36,1.000000,0.899750
37,1.000000,0.889500
38,1.000000,0.893875
39,1.000000,0.930375
40,1.000000,0.922625
41,1.000000,0.900750
42,1.000000,0.937250
43,1.000000,0.914000
44,1.000000,0.936125
45,1.000000,0.929250
46,1.000000,0.922875
47,1.000000,0.931750
48,1.000000,0.917250
49,1.000000,0.946875
50,1.000000,0.939250
51,1.000000,0.943125
52,1.000000,0.905750
53,1.000000,0.948375
54,1.000000,0.948750
55,1.000000,0.924750
56,1.000000,0.924000
57,1.000000,0.898500
58,1.000000,0.893875
59,1.000000,0.914750
60,1.000000,0.924625
61,1.000000,0.935625
62,1.000000,0.946250
63,1.000000,0.919375
64,1.000000,0.936500
65,1.000000,0.937750
66,1.000000,0.979250
67,1.000000,0.962000
68,1.000000,0.936250
69,1.000000,0.925250
70,1.000000,0.955375
71,1.000000,0.962750
72,1.000000,0.937375
73,1.000000,0.927125
74,1.000000,0.914125
75,1.000000,0.925000
76,1.000000,0.913000
77,1.000000,0.942500
78,1.000000,0.931125
79,1.000000,0.920625
80,1.000000,0.915125
81,1.000000,0.926250
82,1.000000,0.925750
83,1.000000,0.910250
84,1.000000,0.885375
85,1.000000,0.899250
86,1.000000,0.961625
87,1.000000,0.890625
88,1.000000,0.880625
89,1.000000,0.884375
90,1.000000,0.864750
91,1.000000,0.929625
92,1.000000,0.922750
93,1.000000,0.911250
94,1.000000,0.942625
95,1.000000,0.907125
96,1.000000,0.892500
97,1.000000,0.905500
98,1.000000,0.927625
99,1.000000,0.944000
100,1.000000,0.907250
