generation,best_fitness,avg_fitness
1,1.000000,0.900500
2,1.000000,0.895625
3,1.000000,0.898625
4,1.000000,0.915125
5,1.000000,0.895375
6,1.000000,0.934000
7,1.000000,0.895000
8,1.000000,0.913875
9,1.000000,0.901375
10,1.000000,0.885250
11,1.000000,0.898875
12,1.000000,0.913125
13,1.000000,0.937875
14,1.000000,0.921000
15,1.000000,0.898500
16,1.000000,0.910750
17,1.000000,0.868375
18,1.000000,0.893125
19,1.000000,0.881875
20,1.000000,0.881625
21,1.000000,0.873625
22,1.000000,0.924125
23,1.000000,0.914000
24,1.000000,0.904375
25,1.000000,0.926125
26,1.000000,0.895000
27,1.000000,0.909250
28,1.000000,0.915750
29,1.000000,0.901375
30,1.000000,0.931125
31,1.000000,0.916125
32,1.000000,0.908375
33,1.000000,0.938125
34,1.000000,0.920125
35,1.000000,0.923000
36,1.000000,0.925000
37,1.000000,0.943250
38,1.000000,0.937500
39,1.000000,0.939625
40,1.000000,0.937250
41,1.000000,0.928500
42,1.000000,0.919375
43,1.000000,0.924750
44,1.000000,0.920250
45,1.000000,0.897500
46,1.000000,0.915375
47,1.000000,0.937750
48,1.000000,0.946125
49,1.000000,0.922500
50,1.000000,0.915375
51,1.000000,0.912875
52,1.000000,0.887000
53,1.000000,0.918000
54,1.000000,0.919250
55,1.000000,0.919375
56,1.000000,0.922250
57,1.000000,0.900750
58,1.000000,0.888250
59,1.000000,0.880125
60,1.000000,0.919625
61,1.000000,0.928875
62,1.000000,0.914500
63,1.000000,0.931875
64,1.000000,0.904875
65,1.000000,0.911125
66,1.000000,0.898500
67,1.000000,0.934375
68,1.000000,0.907125
69,1.000000,0.871375
70,1.000000,0.898000
71,1.000000,0.933250
72,1.000000,0.920250
73,1.000000,0.886750
74,1.000000,0.868000
75,1.000000,0.880375
76,1.000000,0.871375
77,1.000000,0.889500
78,1.000000,0.897000
79,1.000000,0.884375
80,1.000000,0.876750
81,1.000000,0.888125
82,1.000000,0.915375
83,1.000000,0.920500
84,1.000000,0.905375
85,1.000000,0.906875
86,1.000000,0.918375
87,1.000000,0.897250
88,1.000000,0.880625
89,1.000000,0.863000
90,1.000000,0.890500
91,1.000000,0.912000
92,1.000000,0.879625
93,1.000000,0.927250
94,1.000000,0.908000
95,1.000000,0.905750
96,1.000000,0.878125
97,1.000000,0.906000
98,1.000000,0.880125
99,1.000000,0.899875
100,1.000000,0.910500
