generation,best_fitness,avg_fitness
1,1.000000,0.922000
2,1.000000,0.885250
3,1.000000,0.931875
4,1.000000,0.950000
5,1.000000,0.950000
6,1.000000,0.968875
7,1.000000,0.955500
8,1.000000,0.964000
9,1.000000,0.959625
10,1.000000,0.957750
11,1.000000,0.943125
12,1.000000,0.930375
13,1.000000,0.943875
14,1.000000,0.960750
15,1.000000,0.930375
16,1.000000,0.934250
17,1.000000,0.938625
18,1.000000,0.931500
19,1.000000,0.925750
20,1.000000,0.962625
21,1.000000,0.932875
22,1.000000,0.945500
23,1.000000,0.955625
24,1.000000,0.965000
25,1.000000,0.960000
26,1.000000,0.961375
27,1.000000,0.951625
28,1.000000,0.960500
29,1.000000,0.957750
30,1.000000,0.975000
31,1.000000,0.960250
32,1.000000,0.929750
33,1.000000,0.949000
34,1.000000,0.958500
35,1.000000,0.947125
36,1.000000,0.957250
37,1.000000,0.961750
38,1.000000,0.962875
39,1.000000,0.939500
40,1.000000,0.963250
41,1.000000,0.960750
42,1.000000,0.975125
43,1.000000,0.969625
44,1.000000,0.975250
45,1.000000,0.955875
46,1.000000,0.960375
47,1.000000,0.965000
48,1.000000,0.958750
49,1.000000,0.953125
50,1.000000,0.960500
51,1.000000,0.962875
52,1.000000,0.961125
53,1.000000,0.935375
54,1.000000,0.965625
55,1.000000,0.963625
56,1.000000,0.950875
57,1.000000,0.958000
58,1.000000,0.951125
59,1.000000,0.957750
60,1.000000,0.972500
61,1.000000,0.970875
62,1.000000,0.968750
63,1.000000,0.955375
64,1.000000,0.948625
65,1.000000,0.945250
66,1.000000,0.957375
67,1.000000,0.938125
68,1.000000,0.952625
69,1.000000,0.939250
70,1.000000,0.971000
71,1.000000,0.962250
72,1.000000,0.954375
73,1.000000,0.954125
74,1.000000,0.973250
75,1.000000,0.948250
76,1.000000,0.958125
77,1.000000,0.940250
78,1.000000,0.963250
79,1.000000,0.931625
80,1.000000,0.953875
81,1.000000,0.919625
82,1.000000,0.929500
83,1.000000,0.957000
84,1.000000,0.968750
85,1.000000,0.952000
86,1.000000,0.966000
87,1.000000,0.975250
88,1.000000,0.949500
89,1.000000,0.937500
90,1.000000,0.935375
91,1.000000,0.944500
92,1.000000,0.949250
93,1.000000,0.958875
94,1.000000,0.951625
95,1.000000,0.950875
96,1.000000,0.957750
97,1.000000,0.972000
98,1.000000,0.969625
99,1.000000,0.971125
100,1.000000,0.957250
